distributor_name,address,city,state,zipcode,km_allocated
SELVARlANI INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,22
SRI KARTHIK INDANE AGENCIES,aa,Madurai,Tamil Nadu,638316,25
SRI VETRI VEL INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,45
HARI INDANE GAS,aa,Madurai,Tamil Nadu,638316,54
ROYAL INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,54
"SURESH GAS AGENCIES,",aa,Madurai,Tamil Nadu,638316,54
PSM INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,58
V.V. INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,62
RAMESH GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,68
VIJAY GAS,aa,Madurai,Tamil Nadu,638316,66
CALIF GAS,aa,Madurai,Tamil Nadu,638316,62
VIGNESWAR ENTERPRISES,aa,Madurai,Tamil Nadu,638316,68
AMALA GAS CENTRE,aa,Madurai,Tamil Nadu,638316,70
SREE USHA GAS AGENCY,aa,Madurai,Tamil Nadu,638316,64
PRK INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,72
"MAHENDHAR INDANE GAS AGENCIES,",aa,Madurai,Tamil Nadu,638316,64
TSP VI BATTALION GAS SERVICE,aa,Madurai,Tamil Nadu,638316,72
PANDIAN COOP SUPER MARKET,aa,Madurai,Tamil Nadu,638316,70
THIRUMALA INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,73
VAIGAI INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,71.4
NIPPON INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,77
BHARATH TRADERS,aa,Madurai,Tamil Nadu,638316,78
SRI GANESHA GAS AGENCY,aa,Madurai,Tamil Nadu,638316,78
RAJAMANI INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,78
KARTHIHEYA AGENCY,aa,Madurai,Tamil Nadu,638316,78
DINDIGUL INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,82
PREMIER INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,82
SREE ALAGAR INDANE AGENCIES,aa,Madurai,Tamil Nadu,638316,82
RAVI AGENCIES,aa,Madurai,Tamil Nadu,638316,71.4
SPARK GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,84
SRI MEENAMBIGAI INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,84
ARUNACHALA GAS AGENCY,aa,Madurai,Tamil Nadu,638316,88
THIRUCHENDURAN INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,88
SRI GANAPATHY INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,88
TATA COFFEE LIMITED,aa,Madurai,Tamil Nadu,638316,94
VASU INDANE GAS,aa,Madurai,Tamil Nadu,638316,102
SREE SAIRAM INDANE GRAMIN VITR,aa,Madurai,Tamil Nadu,638316,103
SRI SAKTHI INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,106
DHANALAKSHMI INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,114
VITHUN INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,110
RAJA BHUVANESHWARI AGENCIES,aa,Madurai,Tamil Nadu,638316,107
SATHIABAMA INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,107
PKM INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,112
BISMI INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,119
SAPRNA INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,116
SRI VISHNU PRASATH INDANE GAS,aa,Madurai,Tamil Nadu,638316,119
V.P.ANANYA INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,130
GANAPATHY GAS AGENCY,aa,Madurai,Tamil Nadu,638316,119
AAJEETH INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,133
SRI VISHNU RGGLV,aa,Madurai,Tamil Nadu,638316,131
ASHIQ INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,115
VIJAYANAND INDANE GAS AGENCY,aa,Madurai,Tamil Nadu,638316,140
ELANGOVAN INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,145
BALASUBRAMANIAN INDANE GRAMIN,aa,Madurai,Tamil Nadu,638316,160
SAHA INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,150
SELVA INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,150
AADHAVAN RGGLV INDANE GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,152
SHARWIN KAVIN INDANE GRAMIN VITRAK,aa,Madurai,Tamil Nadu,638316,164
SHRI NALLANDAVAR INDANE GRAMIN VITR,aa,Madurai,Tamil Nadu,638316,154
THIRUMALAI VENKATESWARA INDANE GRAM,aa,Madurai,Tamil Nadu,638316,156
KRISHNAN GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,160
ELUMALAYAN INDANE GAS SERVICE,aa,Madurai,Tamil Nadu,638316,159
JOTHI GAS AGENCIES,aa,Madurai,Tamil Nadu,638316,160
